Country,ISO3,Region,
Afghanistan,AFG,South Asia,
Angola,AGO,Sub-Saharan Africa,
United Arab Emirates,ARE,Middle East & North Africa,
Argentina,ARG,Latin America & Caribbean,
American Samoa,ASM,East Asia & Pacific,
Azerbaijan,AZE,Europe & Central Asia,
Burundi,BDI,Sub-Saharan Africa,
Benin,BEN,Sub-Saharan Africa,
Burkina Faso,BFA,Sub-Saharan Africa,
Bangladesh,BGD,South Asia,
Belize,BLZ,Latin America & Caribbean,High income
Bolivia,BOL,Latin America & Caribbean,
Brazil,BRA,Latin America & Caribbean,
Bhutan,BTN,South Asia,
Botswana,BWA,Sub-Saharan Africa,
Central African Republic,CAF,Sub-Saharan Africa,
Chile,CHL,Latin America & Caribbean,
China,CHN,East Asia & Pacific,
Côte d’Ivoire,CIV,Sub-Saharan Africa,
Cameroon,CMR,Sub-Saharan Africa,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,
"Congo, Rep.",COG,Sub-Saharan Africa,
Colombia,COL,Latin America & Caribbean,
Comoros,COM,Sub-Saharan Africa,
Cabo Verde,CPV,Sub-Saharan Africa,
Costa Rica,CRI,Latin America & Caribbean,
Cuba,CUB,Latin America & Caribbean,
Djibouti,DJI,Middle East & North Africa,
Dominica,DMA,Latin America & Caribbean,
Dominican Republic,DOM,Latin America & Caribbean,
Algeria,DZA,Middle East & North Africa,
Ecuador,ECU,Latin America & Caribbean,
"Egypt, Arab Rep.",EGY,Middle East & North Africa,
Eritrea,ERI,Sub-Saharan Africa,
Ethiopia,ETH,Sub-Saharan Africa,
Fiji,FJI,East Asia & Pacific,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,
Gabon,GAB,Sub-Saharan Africa,
Ghana,GHA,Sub-Saharan Africa,
Guinea,GIN,Sub-Saharan Africa,
"Gambia, The",GMB,Sub-Saharan Africa,
Guinea-Bissau,GNB,Sub-Saharan Africa,
Equatorial Guinea,GNQ,Sub-Saharan Africa,
Grenada,GRD,Latin America & Caribbean,
Guatemala,GTM,Latin America & Caribbean,
Guyana,GUY,Latin America & Caribbean,
Honduras,HND,Latin America & Caribbean,
Haiti,HTI,Latin America & Caribbean,
Indonesia,IDN,East Asia & Pacific,
India,IND,South Asia,
"Iran, Islamic Rep.",IRN,Middle East & North Africa,
Iraq,IRQ,Middle East & North Africa,
Israel,ISR,Middle East & North Africa,
Jamaica,JAM,Latin America & Caribbean,
Jordan,JOR,Middle East & North Africa,
Kazakhstan,KAZ,Europe & Central Asia,
Kenya,KEN,Sub-Saharan Africa,
Kyrgyz Republic,KGZ,Europe & Central Asia,
Cambodia,KHM,East Asia & Pacific,
Kiribati,KIR,East Asia & Pacific,
Kuwait,KWT,Middle East & North Africa,
Lao PDR,LAO,East Asia & Pacific,
Lebanon,LBN,Middle East & North Africa,
Liberia,LBR,Sub-Saharan Africa,
Libya,LBY,Middle East & North Africa,
St. Lucia,LCA,Latin America & Caribbean,
Sri Lanka,LKA,South Asia,
Lesotho,LSO,Sub-Saharan Africa,
Morocco,MAR,Middle East & North Africa,
Madagascar,MDG,Sub-Saharan Africa,
Maldives,MDV,South Asia,
Mexico,MEX,Latin America & Caribbean,
Marshall Islands,MHL,East Asia & Pacific,
Mali,MLI,Sub-Saharan Africa,
Myanmar,MMR,East Asia & Pacific,
Mongolia,MNG,East Asia & Pacific,
Mozambique,MOZ,Sub-Saharan Africa,
Mauritania,MRT,Sub-Saharan Africa,
Mauritius,MUS,Sub-Saharan Africa,
Malawi,MWI,Sub-Saharan Africa,
Malaysia,MYS,East Asia & Pacific,
Namibia,NAM,Sub-Saharan Africa,
Niger,NER,Sub-Saharan Africa,
Nigeria,NGA,Sub-Saharan Africa,
Nicaragua,NIC,Latin America & Caribbean,
Nepal,NPL,South Asia,
Oman,OMN,Middle East & North Africa,
Pakistan,PAK,South Asia,
Panama,PAN,Latin America & Caribbean,
Peru,PER,Latin America & Caribbean,
Philippines,PHL,East Asia & Pacific,
Palau,PLW,East Asia & Pacific,
Papua New Guinea,PNG,East Asia & Pacific,
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,
Paraguay,PRY,Latin America & Caribbean,
West Bank and Gaza,PSE,Middle East & North Africa,
Rwanda,RWA,Sub-Saharan Africa,
Saudi Arabia,SAU,Middle East & North Africa,
Sudan,SDN,Sub-Saharan Africa,
Senegal,SEN,Sub-Saharan Africa,
Solomon Islands,SLB,East Asia & Pacific,
Sierra Leone,SLE,Sub-Saharan Africa,
El Salvador,SLV,Latin America & Caribbean,
Somalia,SOM,Sub-Saharan Africa,
South Sudan,SSD,Sub-Saharan Africa,
São Tomé and Príncipe,STP,Sub-Saharan Africa,
Suriname,SUR,Latin America & Caribbean,
Eswatini,SWZ,Sub-Saharan Africa,
Syrian Arab Republic,SYR,Middle East & North Africa,
Chad,TCD,Sub-Saharan Africa,
Togo,TGO,Sub-Saharan Africa,
Thailand,THA,East Asia & Pacific,
Tajikistan,TJK,Europe & Central Asia,
Turkmenistan,TKM,Europe & Central Asia,
Timor-Leste,TLS,East Asia & Pacific,
Tonga,TON,East Asia & Pacific,
Tunisia,TUN,Middle East & North Africa,
Tuvalu,TUV,East Asia & Pacific,
Taiwan,TWN,East Asia & Pacific,
Tanzania,TZA,Sub-Saharan Africa,
Uganda,UGA,Sub-Saharan Africa,
Uruguay,URY,Latin America & Caribbean,
Uzbekistan,UZB,Europe & Central Asia,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,
"Venezuela, RB",VEN,Latin America & Caribbean,
Vietnam,VNM,East Asia & Pacific,
Vanuatu,VUT,East Asia & Pacific,
Samoa,WSM,East Asia & Pacific,
"Yemen, Rep.",YEM,Middle East & North Africa,
South Africa,ZAF,Sub-Saharan Africa,
Zambia,ZMB,Sub-Saharan Africa,
Zimbabwe,ZWE,Sub-Saharan Africa,
